filename,date,manual_snowdepth,keypoint_model
W2B_WSCT0020.JPG,,-1.764,10.665601343185017
W2B_WSCT0024.JPG,,-3.888,3.658174667778269
W2B_WSCT0025.JPG,,-0.348,4.443996385852074
W2B_WSCT0036.JPG,,-2.472,3.416469977483075
W2B_WSCT0050.JPG,,-0.348,2.7587592618285726
W2B_WSCT0051.JPG,,-1.764,1.6796978280246435
W2B_WSCT0055.JPG,,1.776,0.5403444104714481
W2B_WSCT0056.JPG,,1.7229,7.334559794335689
W2B_WSCT0081.JPG,,-6.72,-1.789633278
W2B_WSCT0083.JPG,,-11.676,-5.340519319
W2B_WSCT0100.JPG,,-16.632,-8.953187517
W2B_WSCT0104.JPG,,-14.508,-7.147719242
W2B_WSCT0108.JPG,,-19.464,-10.40571568
W2B_WSCT0120.JPG,,-18.756,-9.751636938
W2B_WSCT0121.JPG,,-15.2514,-11.36770489
W2B_WSCT0130.JPG,,15.228,17.11191980693144
W2B_WSCT0133.JPG,,10.9623,15.747984558816313
W2B_WSCT0141.JPG,,7.4223,17.70429244898969
W2B_WSCT0157.JPG,,20.892,26.637623266950186
W2B_WSCT0161.JPG,,24.432,27.61107701666623
W2B_WSCT0176.JPG,,27.9543,31.104726463490977
W2B_WSCT0184.JPG,,30.0783,31.34719582588599
W2B_WSCT0227.JPG,,52.7343,54.58506340308196
W2B_WSCT0271.JPG,,75.408,76.39233070225094
W2B_WSCT0283.JPG,,71.868,75.05379737
W2B_WSCT0304.JPG,,69.744,73.91274150066437
W2B_WSCT0362.JPG,,85.9926,89.07861456060348
W2B_WSCT0377.JPG,,117.8703,121.16473225137517
W2B_WSCT0399.JPG,,100.1703,103.91632138416065
W2B_WSCT0403.JPG,,93.7806,96.79379396662975
W2B_WSCT0410.JPG,,82.488,84.33071755214175
W2B_WSCT0413.JPG,,83.196,87.93365835
W2B_WSCT0422.JPG,,88.152,91.40519009658934
W2B_WSCT0440.JPG,,72.576,73.19381710760655
W2B_WSCT0474.JPG,,-15.9594,-8.118874191
W2B_WSCT0475.JPG,,-12.4194,-10.60077536
W2B_WSCT0477.JPG,,-18.0657,-13.09704331
W2B_WSCT0482.JPG,,-14.5257,-9.245403085
